事件分组,事件名称,事件中文名,属性名称,属性中文名,属性数据类型,判定位置,ext命中样本数,personal命中样本数,事件样本数,ext样例值,personal样例值
Login,Launch,游戏启动,memorySize,设备总内存,字符串,样本未发现,0,0,30,,
Login,Launch,游戏启动,memory_current,可用内存,字符串,样本未发现,0,0,30,,
Login,Launch,游戏启动,width,分辨率宽,字符串,样本未发现,0,0,30,,
Login,Launch,游戏启动,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,30,,
Login,Launch,游戏启动,ed_season,赛季,字符串,样本未发现,0,0,30,,
Login,LaunchVersionRet,WerbServer平台版本信息返回,ed_Source,"返回类型Server,Cache,Local,Failed,",字符串,personal,0,30,30,,Server | Server | Server
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,activityId,活动ID,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,belongingIdentity,所属身份：车头&车身,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,challengeLevel,难度,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,damageValue,对目标ID总伤害值-每人一条,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,ed_allianceId,联盟id,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,marchId,行军ID,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,monsterId,目标怪物ID（对应报名难度）,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,selectTime,选择活动时段,字符串,样本未发现,0,0,0,,
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,activityId,活动ID,字符串,personal,0,11,11,,21007 | 21007 | 21007
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,alliancePermission,联盟官职,字符串,personal,0,11,11,,R4 | R5 | R4
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,challengeLevel,难度,字符串,personal,0,11,11,,1 | 1 | 2
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,ed_allianceId,联盟id,字符串,personal,0,11,11,,5046496226 | 9341463566 | 9341463563
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,monsterId,目标怪物ID（对应报名难度）,字符串,personal,0,11,11,,1059954232192417792 | 1059884739621584896 | 1059627032993890304
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,playerId,玩家id,字符串,personal,0,11,11,,618201058705409 | 184375070359554 | 98475723128834
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,selectTime,选择活动时段,字符串,personal,0,11,11,,2025-11-19 21:00:00 | 2025-11-19 15:00:00 | 2025-11-19 17:30:00
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,activityId,活动ID,字符串,personal,0,30,30,,21007 | 21007 | 21007
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,alliancePermission,联盟官职,字符串,personal,0,30,30,,R4 | R4 | R4
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,challengeLevel,难度,字符串,personal,0,30,30,,1 | 1 | 1
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,donationBuffLevelAfter,捐献后BUFF等级,字符串,personal,0,30,30,,4 | 4 | 4
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,donationBuffLevelBefore,捐献前BUFF等级,字符串,personal,0,30,30,,4 | 4 | 4
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,donationQuantity,捐献数量,字符串,personal,0,30,30,,1 | 1 | 1
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,ed_allianceId,联盟id,字符串,personal,0,30,30,,5046496226 | 5046496226 | 5046496226
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,playerId,玩家id,字符串,personal,0,30,30,,556559687614465 | 556559687614465 | 556559687614465
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,selectTime,选择活动时段,字符串,personal,0,30,30,,2025-11-19 21:00:00 | 2025-11-19 21:00:00 | 2025-11-19 21:00:00
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,activityId,活动ID,字符串,personal,0,12,12,,21007 | 21007 | 21007
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,challengeLevel,难度,字符串,personal,0,12,12,,2 | 2 | 2
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,ed_allianceId,联盟id,字符串,personal,0,12,12,,9341463563 | 9341463563 | 9341463563
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,magnification,个人伤害对应奖励倍率（个人总伤害榜）,字符串,personal,0,12,12,,10 | 1 | 1
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,rewardId,奖励ID,字符串,personal,0,12,12,,200209 | 200410 | 200406
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,rewardRank,奖励ID对应的伤害区间值真实值（排名）,字符串,personal,0,12,12,,0 | 0 | 0
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,rewardType,奖励类型,字符串,personal,0,12,12,,1 | 2 | 2
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,selectTime,选择活动时段,字符串,personal,0,12,12,,2025-11-19 17:30:00 | 2025-11-19 17:30:00 | 2025-11-19 17:30:00
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,totalDamage,总伤害（对应联盟和个人）,字符串,personal,0,12,12,,133798213 | 6488230 | 130002
Activity,multipleArena,3v3竞技场挑战结果,combatPower,战斗时玩家战斗力（统计上阵队伍参数1、2、3针对3个队伍）,字符串,personal,0,21,21,,9405691 | 9405691 | 10282948
Activity,multipleArena,3v3竞技场挑战结果,currentRemainingAttempts,当前挑战剩余次数,字符串,personal,0,21,21,,28 | 29 | 22
Activity,multipleArena,3v3竞技场挑战结果,ed_mainBuildingLevel,大本等级,字符串,personal,0,21,21,,22 | 22 | 21
Activity,multipleArena,3v3竞技场挑战结果,ed_serverId,当前服务器ID,字符串,personal,0,21,21,,1 | 1 | 1
Activity,multipleArena,3v3竞技场挑战结果,multipleArenaBattleResults,3v3竞技场战斗结果（1. 胜利、2. 失败）,字符串,personal,0,21,21,,1 | 1 | 1
Activity,multipleArena,3v3竞技场挑战结果,rankAfterBattle,战斗后竞技场排名,字符串,personal,0,21,21,,3 | 42 | 2
Activity,multipleArena,3v3竞技场挑战结果,rankBeforeBattle,战斗前竞技场排名,字符串,personal,0,21,21,,42 | 199 | 2
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,attackAllianceId,宣战联盟id,字符串,personal,0,3,3,,9341463600 | 9341463600 | 9341463600
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,cityId,城市id,字符串,personal,0,3,3,,115002 | 114003 | 113007
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,cityLevel,城市等级,字符串,personal,0,3,3,,5 | 4 | 3
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,defAllianceId,防守联盟id,字符串,personal,0,3,3,,9341463561 | 0 | 0
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,ed_mainBuildingLevel,大本等级,字符串,personal,0,3,3,,13 | 18 | 17
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,ed_serverId,当前服务器ID,字符串,personal,0,3,3,,2 | 2 | 2
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,occupiedCitiesNum,当前已占领城市数量,字符串,personal,0,3,3,,5 | 5 | 5
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,allianceId,联盟id,字符串,样本未发现,0,0,0,,
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,allianIdentity,联盟身份,字符串,样本未发现,0,0,0,,
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,cityId,城市id,字符串,样本未发现,0,0,0,,
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,cityLevel,城市等级,字符串,样本未发现,0,0,0,,
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,occupiedCitiesNum,当前已占领城市数量,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,allianceId,联盟id,字符串,personal,0,3,3,,9341463600 | 9341463600 | 9341463600
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,cityId,城市id,字符串,personal,0,3,3,,115002 | 114003 | 113007
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,cityLevel,城市等级,字符串,personal,0,3,3,,5 | 4 | 3
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,ed_mainBuildingLevel,大本等级,字符串,personal,0,3,3,,1 | 1 | 1
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,ed_serverId,当前服务器ID,字符串,personal,0,3,3,,2 | 2 | 2
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,fightResult,攻击结果,字符串,personal,0,3,3,,1 | 1 | 1
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,getScore,获得的积分,字符串,personal,0,3,3,,88000 | 66000 | 44000
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,ifFirstOccupy,是否是首次占领,字符串,personal,0,3,3,,0 | 0 | 0
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,joinNum,参与的联盟人数,字符串,personal,0,3,3,,2 | 2 | 2
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,occupiedCitiesNum,当前已占领城市数量,字符串,personal,0,3,3,,5 | 5 | 5
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,originalAllianceId,城市原所属联盟id,字符串,personal,0,3,3,,9341463561 | 0 | 0
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,uniqueId,本场争夺唯一id,字符串,personal,0,3,3,,1762971078104 | 1762855332190 | 1762746835593
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,winAllianceId,争夺结束后城市所属联盟id,字符串,personal,0,3,3,,9341463600 | 9341463600 | 9341463600
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,allianceId,联盟id,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,cityId,城市id,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,cityLevel,城市等级,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,joinNum,参与的联盟人数,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,occupiedCitiesNum,当前已占领城市数量,字符串,样本未发现,0,0,0,,
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,originalAllianceId,城市原所属联盟id,字符串,样本未发现,0,0,0,,
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,allianceId,联盟id,字符串,personal,0,2,2,,9341463600 | 9341463600
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,allianIdentity,联盟身份,字符串,personal,0,2,2,,5 | 5
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,cityId,城市id,字符串,personal,0,2,2,,113007 | 112007
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,cityLevel,城市等级,字符串,personal,0,2,2,,3 | 2
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,ed_mainBuildingLevel,大本等级,字符串,personal,0,2,2,,13 | 18
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,ed_serverId,当前服务器ID,字符串,personal,0,2,2,,2 | 2
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,occupiedCitiesNum,当前已占领城市数量,字符串,personal,0,2,2,,6 | 6
FightForCities,GiveUpOccupiedCitiesSuccess,据点争夺成功放弃占领的城市,allianceId,联盟id,字符串,personal,0,2,2,,9341463600 | 9341463600
FightForCities,GiveUpOccupiedCitiesSuccess,据点争夺成功放弃占领的城市,cityId,城市id,字符串,personal,0,2,2,,113007 | 112007
FightForCities,GiveUpOccupiedCitiesSuccess,据点争夺成功放弃占领的城市,cityLevel,城市等级,字符串,personal,0,2,2,,3 | 2
FightForCities,GiveUpOccupiedCitiesSuccess,据点争夺成功放弃占领的城市,ed_mainBuildingLevel,大本等级,字符串,personal,0,2,2,,1 | 1
FightForCities,GiveUpOccupiedCitiesSuccess,据点争夺成功放弃占领的城市,ed_serverId,当前服务器ID,字符串,personal,0,2,2,,2 | 2
FightForCities,GiveUpOccupiedCitiesSuccess,据点争夺成功放弃占领的城市,occupiedCitiesNum,当前已占领城市数量,字符串,personal,0,2,2,,6 | 6
Battle,PVERetry,当关卡失败后，点击结算界面的重新挑战后打点,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 9
Battle,PVERetry,当关卡失败后，点击结算界面的重新挑战后打点,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Battle,PVERetry,当关卡失败后，点击结算界面的重新挑战后打点,instanceId,进入的PVE关卡ID,字符串,personal,0,30,30,,952003 | 952003 | 952003
Radar,RadarMissionFail,雷达任务失败,ed_dungeonId,关卡id,字符串,personal,0,30,30,,100112 | 100115 | 100115
Radar,RadarMissionFail,雷达任务失败,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 13 | 13
Radar,RadarMissionFail,雷达任务失败,ed_radarMissionId,失败任务id,字符串,personal,0,30,30,,100112 | 100115 | 100115
Radar,RadarMissionFail,雷达任务失败,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Shop,ShopBuyComplete,商店购买,allianceId,联盟id,字符串,样本未发现,0,0,0,,
Shop,ShopBuyComplete,商店购买,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Shop,ShopBuyComplete,商店购买,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
Shop,ShopBuyComplete,商店购买,goodsId,商品id,字符串,样本未发现,0,0,0,,
Shop,ShopBuyComplete,商店购买,num,数量,字符串,样本未发现,0,0,0,,
Shop,ShopBuyComplete,商店购买,shopId,商店id,字符串,样本未发现,0,0,0,,
Battle,SwitchSceneStart,开始切场景,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 9
Battle,SwitchSceneStart,开始切场景,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Battle,SwitchSceneStart,开始切场景,SceneNow,当前场景名称,字符串,personal,0,30,30,,worldmapscene | worldmapscene | worldmapscene
Battle,SwitchSceneStart,开始切场景,SceneTarget,目标场景名称,字符串,personal,0,30,30,,worldmapscene | worldmapscene | worldmapscene
Battle,TrainingArenaResults,竞技场挑战结果,combatPower,战斗时玩家战斗力（统计上阵队伍）,字符串,样本未发现,0,0,0,,
Battle,TrainingArenaResults,竞技场挑战结果,currentRemainingAttempts,当前挑战剩余次数,字符串,样本未发现,0,0,0,,
Battle,TrainingArenaResults,竞技场挑战结果,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Battle,TrainingArenaResults,竞技场挑战结果,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
Battle,TrainingArenaResults,竞技场挑战结果,rankAfterBattle,战斗后竞技场排名,字符串,样本未发现,0,0,0,,
Battle,TrainingArenaResults,竞技场挑战结果,rankBeforeBattle,战斗前竞技场排名,字符串,样本未发现,0,0,0,,
Battle,TrainingArenaResults,竞技场挑战结果,trainingArenaBattleResults,新兵训练营战斗结果（1. 胜利、2. 失败）,字符串,样本未发现,0,0,0,,
Idle,IdleBoxOpenTimes,挂机宝箱开启,ed_boxIdNum,开启宝箱的id和数量,字符串,样本未发现,0,0,0,,
Idle,IdleBoxOpenTimes,挂机宝箱开启,ed_idleBoxOpenItem,开启宝箱的内容,字符串,样本未发现,0,0,0,,
Idle,IdleBoxOpenTimes,挂机宝箱开启,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Idle,IdleBoxOpenTimes,挂机宝箱开启,ed_quality,开启宝箱的稀有度,字符串,样本未发现,0,0,0,,
Idle,IdleBoxOpenTimes,挂机宝箱开启,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
Idle,IdleGetReward,挂机领取奖励,ed_idleGetRewardBox,挂机领奖的宝箱数量,字符串,personal,0,30,30,,"[] | [{""num"": 1, ""id"": 105401}, {""num"": 5, ""id"": 105201}, {""num"": 2, ""id"": 105101}, {""num"": 2, ""id"": 105301}] | [{""num"": 6, ""id"": 105201}, {""num"": 4, ""id"": 105101}, {""num"": 1, ""id"": 105301}]"
Idle,IdleGetReward,挂机领取奖励,ed_idleGetRewardRes,挂机领奖的资源数量,字符串,personal,0,30,30,,"[{""num"": 8500, ""id"": 2}, {""num"": 8500, ""id"": 3}, {""num"": 4833, ""id"": 1}, {""num"": 59316, ""id"": 106}] | [{""num"": 986000, ""id"": 2}, {""num"": 986000, ""id"": 3}, {""num"": 560628, ""id"": 1}, {""num"": 6880656, ""id"": 106}] | [{""num"": 149040, ""id"": 2}, {""num"": 149040, ""id"": 3}, {""num"": 49680, ""id"": 1}, {""num"": 231840, ""id"": 106}]"
Idle,IdleGetReward,挂机领取奖励,ed_idleGetRewardTime,挂机领取奖励的时间,字符串,personal,0,30,30,,1763595888641 | 1763595547485 | 1763595523933
Idle,IdleGetReward,挂机领取奖励,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,23 | 23 | 7
Idle,IdleGetReward,挂机领取奖励,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Idle,IdleStageId,挂机推关数,ed_idleStageId,推关当前所在关卡,字符串,personal,0,30,30,,100105 | 100052 | 100051
Idle,IdleStageId,挂机推关数,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,23 | 19 | 19
Idle,IdleStageId,挂机推关数,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Battle,PVEInstanceResult,PVE关卡战斗结算,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 9
Battle,PVEInstanceResult,PVE关卡战斗结算,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Battle,PVEInstanceResult,PVE关卡战斗结算,Heros,英雄1号位,字符串,personal,0,30,30,,[] | [] | []
Battle,PVEInstanceResult,PVE关卡战斗结算,instanceGuid,关卡唯一id,字符串,personal,0,24,30,,1763510253 | 1763510158 | 1763509944
Battle,PVEInstanceResult,PVE关卡战斗结算,instanceId,参与的PVE关卡ID,字符串,personal,0,30,30,,1 | 1 | 1
Battle,PVEInstanceResult,PVE关卡战斗结算,mechLevel,机甲等级,字符串,personal,0,30,30,,16 | 16 | 16
Battle,PVEInstanceResult,PVE关卡战斗结算,result,关卡结果,字符串,personal,0,30,30,,1 | 1 | 1
Battle,PVEInstanceResult,PVE关卡战斗结算,totalPower,队伍总战力,字符串,personal,0,30,30,,0 | 0 | 0
Battle,PVEInstanceStart,PVE关卡战斗开始,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,7 | 7 | 9
Battle,PVEInstanceStart,PVE关卡战斗开始,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Battle,PVEInstanceStart,PVE关卡战斗开始,Heros,英雄s,字符串,personal,0,30,30,,[] | [] | []
Battle,PVEInstanceStart,PVE关卡战斗开始,instanceGuid,关卡唯一id,字符串,personal,0,30,30,,1763595598 | 1763595441 | 1763594755
Battle,PVEInstanceStart,PVE关卡战斗开始,instanceId,参与的PVE关卡ID,字符串,personal,0,30,30,,99042 | 99041 | 952003
Battle,PVEInstanceStart,PVE关卡战斗开始,mechLevel,机甲等级,字符串,personal,0,30,30,,10 | 9 | 13
Battle,PVEInstanceStart,PVE关卡战斗开始,totalPower,队伍总战力,字符串,personal,0,30,30,,0 | 0 | 0
Alliance,AllianceGiftDistribute,联盟礼物发放,ed_allianceId,联盟id,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftDistribute,联盟礼物发放,ed_allianceName,联盟名称,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftDistribute,联盟礼物发放,ed_allianceOwnerId,盟主id,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftDistribute,联盟礼物发放,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftDistribute,联盟礼物发放,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftDistribute,联盟礼物发放,giftId,礼物id,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftDistribute,联盟礼物发放,giftType,礼物类型,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftReceive,联盟礼物领取,ed_allianceId,联盟id,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftReceive,联盟礼物领取,ed_allianceName,联盟名称,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftReceive,联盟礼物领取,ed_allianceOwnerId,盟主id,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftReceive,联盟礼物领取,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftReceive,联盟礼物领取,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftReceive,联盟礼物领取,giftId,礼物id,字符串,样本未发现,0,0,0,,
Alliance,AllianceGiftReceive,联盟礼物领取,giftType,礼物类型,字符串,样本未发现,0,0,0,,
Alliance,AllianceMilestones,联盟里程碑结束,completeProgress,里程碑的进度（实际完成）,字符串,样本未发现,0,0,30,,
Alliance,AllianceMilestones,联盟里程碑结束,costTime,耗时（小时）,字符串,样本未发现,0,0,30,,
Alliance,AllianceMilestones,联盟里程碑结束,curProgress,里程碑的进度（要求）,字符串,样本未发现,0,0,30,,
Alliance,AllianceMilestones,联盟里程碑结束,ed_allianceId,联盟id,字符串,personal,0,30,30,,9341463610 | 9341463610 | 9341463610
Alliance,AllianceMilestones,联盟里程碑结束,ed_allianceName,联盟名称,字符串,personal,0,30,30,,harjinder  | harjinder  | harjinder 
Alliance,AllianceMilestones,联盟里程碑结束,ed_allianceOwnerId,盟主id,字符串,personal,0,30,30,,942694572687362 | 942694572687362 | 942694572687362
Alliance,AllianceMilestones,联盟里程碑结束,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,1 | 1 | 1
Alliance,AllianceMilestones,联盟里程碑结束,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Alliance,AllianceMilestones,联盟里程碑结束,milestonesId,里程碑任务id,字符串,样本未发现,0,0,30,,
Alliance,AllianceMilestones,联盟里程碑结束,status,结束状态,字符串,样本未发现,0,0,30,,
Alliance,AllianceTechnologyDonation,联盟捐献,ed_allianceId,联盟id,字符串,personal,0,30,30,,9341463563 | 9341463563 | 9341463563
Alliance,AllianceTechnologyDonation,联盟捐献,ed_alliancePoint,联盟总积分,字符串,personal,0,30,30,,5103600 | 5103540 | 5103480
Alliance,AllianceTechnologyDonation,联盟捐献,ed_alliancePointGet,获得联盟积分,字符串,personal,0,30,30,,60 | 60 | 60
Alliance,AllianceTechnologyDonation,联盟捐献,ed_donationCount,捐献资源数量,字符串,personal,0,30,30,,0 | 0 | 0
Alliance,AllianceTechnologyDonation,联盟捐献,ed_donationType,捐献类型,字符串,personal,0,30,30,,resource | resource | resource
Alliance,AllianceTechnologyDonation,联盟捐献,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,-1 | -1 | -1
Alliance,AllianceTechnologyDonation,联盟捐献,ed_memberPoint,成员当前积分,字符串,personal,0,30,30,,466000 | 465940 | 465820
Alliance,AllianceTechnologyDonation,联盟捐献,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Alliance,AllianceTechnologyDonation,联盟捐献,ed_techId,科技id,字符串,personal,0,30,30,,510 | 510 | 510
Alliance,AllianceTechnologyDonation,联盟捐献,ed_techLevel,科技等级,字符串,personal,0,30,30,,1 | 1 | 1
Alliance,AllianceTechRecommend,联盟推荐,ed_allianceId,联盟id,字符串,personal,0,16,16,,9341463607 | 9341463610 | 9341463608
Alliance,AllianceTechRecommend,联盟推荐,ed_allianceName,联盟名称,字符串,personal,0,16,16,,habe keine Wahl | harjinder  | ninja
Alliance,AllianceTechRecommend,联盟推荐,ed_allianceOwnerId,盟主id,字符串,personal,0,16,16,,907166592270338 | 942694572687362 | 909709213040642
Alliance,AllianceTechRecommend,联盟推荐,ed_currentMemberNumber,联盟当前人数,字符串,personal,0,16,16,,9 | 35 | 5
Alliance,AllianceTechRecommend,联盟推荐,ed_mainBuildingLevel,大本等级,字符串,personal,0,16,16,,-1 | -1 | -1
Alliance,AllianceTechRecommend,联盟推荐,ed_recommendTechTimes,设置推荐科技次数,字符串,样本未发现,0,0,16,,
Alliance,AllianceTechRecommend,联盟推荐,ed_serverId,当前服务器ID,字符串,personal,0,16,16,,2 | 2 | 2
Alliance,AllianceTechRecommend,联盟推荐,techId,推荐的科技id,字符串,样本未发现,0,0,16,,
Alliance,CreateAlliance,创建联盟,ed_allianceFlag,联盟旗帜,字符串,personal,0,3,3,,1111 | 1111 | 1111
Alliance,CreateAlliance,创建联盟,ed_allianceId,联盟id,字符串,personal,0,3,3,,9341463610 | 9341463609 | 9341463608
Alliance,CreateAlliance,创建联盟,ed_allianceLanguage,联盟语言,字符串,personal,0,3,3,,en | en | en
Alliance,CreateAlliance,创建联盟,ed_allianceName,联盟名称,字符串,personal,0,3,3,,harjinder  | Kämperherz | ninja
Alliance,CreateAlliance,创建联盟,ed_allianceNickName,联盟简称,字符串,样本未发现,0,0,3,,
Alliance,CreateAlliance,创建联盟,ed_allianceOwnerId,盟主id,字符串,personal,0,3,3,,942694572687362 | 926957809172482 | 27625941368834
Alliance,CreateAlliance,创建联盟,ed_currentMemberNumber,联盟当前人数,字符串,personal,0,3,3,,1 | 1 | 1
Alliance,CreateAlliance,创建联盟,ed_mainBuildingLevel,大本等级,字符串,personal,0,3,3,,4 | 5 | 4
Alliance,CreateAlliance,创建联盟,ed_maxMemberNumber,联盟人数上限,字符串,personal,0,3,3,,100 | 100 | 100
Alliance,CreateAlliance,创建联盟,ed_serverId,当前服务器ID,字符串,personal,0,3,3,,2 | 2 | 2
Army,ArmyUpgrade,兵种升级,ed_count,军队数量,字符串,personal,0,30,30,,155 | 513 | 481
Army,ArmyUpgrade,兵种升级,ed_isInstant,是否立即完成,字符串,personal,0,30,30,,False | False | False
Army,ArmyUpgrade,兵种升级,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,7 | 23 | 15
Army,ArmyUpgrade,兵种升级,ed_newArmyId,升级后兵种id,字符串,personal,0,30,30,,401001 | 401006 | 401004
Army,ArmyUpgrade,兵种升级,ed_newArmyLevel,升级后兵种等级,字符串,personal,0,30,30,,1 | 6 | 4
Army,ArmyUpgrade,兵种升级,ed_oldArmyId,升级前兵种id,字符串,personal,0,30,30,,401002 | 401007 | 401005
